#auto generated file!
180.0;142;76;32
186.0;136;80;34
192.0;132;84;34
198.0;133;82;35
204.0;135;81;34
210.0;141;72;37
216.0;135;80;35
222.0;138;78;34
228.0;140;76;34
234.0;135;75;40
240.0;137;73;40
246.0;128;71;51
252.0;135;70;45
258.0;138;69;43
264.0;138;72;40
270.0;141;68;41
276.0;141;71;38
282.0;133;79;38
288.0;136;77;37
294.0;142;81;27
300.0;140;80;30
306.0;149;72;29
312.0;155;62;33
318.0;157;65;28
324.0;159;65;26
330.0;158;73;19
336.0;154;70;26
342.0;150;77;23
348.0;149;75;26
354.0;148;73;29
360.0;144;75;31
366.0;144;75;31
372.0;150;69;31
378.0;144;75;31
384.0;141;76;33
390.0;135;86;29
396.0;142;84;24
402.0;142;82;26
408.0;148;70;32
414.0;149;68;33
420.0;152;66;32
426.0;154;64;32
432.0;155;65;30
438.0;149;60;41
444.0;148;59;43
450.0;143;67;40
456.0;150;64;36
462.0;154;58;38
468.0;161;58;31
474.0;164;56;30
480.0;159;58;33
486.0;161;61;28
492.0;159;59;32
498.0;155;67;28
504.0;147;68;35
510.0;147;66;37
516.0;147;63;40
522.0;148;62;40
528.0;148;67;35
534.0;146;69;35
540.0;142;75;33
546.0;142;75;33
552.0;143;72;35
558.0;146;69;35
564.0;148;69;33
570.0;137;72;41
576.0;134;79;37
582.0;134;75;41
588.0;134;80;36
594.0;133;82;35
600.0;139;83;28
606.0;146;75;29
612.0;146;74;30
618.0;151;70;29
624.0;151;70;29
630.0;160;61;29
636.0;151;70;29
642.0;150;65;35
648.0;148;69;33
654.0;147;65;38
660.0;141;67;42
666.0;138;66;46
672.0;139;70;41
678.0;136;72;42
684.0;138;70;42
690.0;139;68;43
696.0;142;71;37
702.0;138;77;35
708.0;144;72;34
714.0;149;64;37
720.0;151;70;29
726.0;145;70;35
732.0;137;73;40
738.0;145;77;28
744.0;143;82;25
750.0;146;78;26
756.0;148;76;26
762.0;144;72;34
768.0;149;69;32
774.0;154;70;26
780.0;152;66;32
786.0;148;65;37
792.0;152;68;30
798.0;150;65;35
804.0;147;70;33
810.0;152;68;30
816.0;147;72;31
822.0;148;71;31
828.0;148;68;34
834.0;145;68;37
840.0;148;66;36
846.0;153;62;35
852.0;145;67;38
858.0;148;65;37
864.0;154;59;37
870.0;164;58;28
876.0;165;55;30
882.0;160;61;29
888.0;151;73;26
894.0;149;76;25
900.0;145;74;31
906.0;147;72;31
912.0;144;71;35
918.0;138;72;40
924.0;140;80;30
930.0;143;74;33
936.0;152;67;31
942.0;153;65;32
948.0;156;60;34
954.0;157;62;31
960.0;153;64;33
966.0;149;66;35
972.0;144;74;32
978.0;144;76;30
984.0;148;82;20
990.0;149;83;18
996.0;150;81;19
1002.0;145;78;27
1008.0;146;80;24
1014.0;147;71;32
1020.0;145;70;35
1026.0;140;75;35
1032.0;142;75;33
1038.0;140;75;35
1044.0;137;71;42
1050.0;140;65;45
1056.0;131;68;51
1062.0;133;77;40
1068.0;135;74;41
1074.0;142;72;36
1080.0;144;68;38
1086.0;142;69;39
1092.0;134;79;37
1098.0;134;75;41
1104.0;135;76;39
1110.0;137;72;41
1116.0;142;71;37
1122.0;145;63;42
1128.0;143;66;41
1134.0;140;65;45
1140.0;147;69;34
1146.0;148;68;34
1152.0;147;70;33
1158.0;144;75;31
1164.0;148;72;30
1170.0;152;73;25
1176.0;153;78;19
1182.0;143;82;25
1188.0;139;85;26
1194.0;140;78;32
1200.0;132;86;32
1206.0;138;85;27
1212.0;133;86;31
1218.0;130;79;41
1224.0;130;80;40
1230.0;138;70;42
1236.0;139;72;39
1242.0;131;77;42
1248.0;129;79;42
1254.0;125;87;38
1260.0;128;86;36
1266.0;130;88;32
1272.0;129;88;33
1278.0;130;84;36
1284.0;129;81;40
1290.0;138;77;35
1296.0;139;79;32
1302.0;142;77;31
1308.0;143;79;28
1314.0;138;76;36
1320.0;145;73;32
1326.0;141;74;35
1332.0;141;72;37
1338.0;143;66;41
1344.0;143;65;42
1350.0;147;65;38
1356.0;152;64;34
1362.0;151;67;32
1368.0;147;63;40
1374.0;143;68;39
1380.0;141;65;44
1386.0;138;65;47
1392.0;141;65;44
1398.0;136;73;41
1404.0;135;73;42
1410.0;134;83;33
1416.0;138;77;35
1422.0;138;73;39
1428.0;138;78;34
1434.0;147;64;39
1440.0;145;72;33
1446.0;151;67;32
1452.0;152;65;33
1458.0;148;71;31
1464.0;145;73;32
1470.0;138;81;31
1476.0;136;79;35
1482.0;137;77;36
1488.0;144;74;32
1494.0;142;80;28
